text,created_at,author/followers_count,author/screen_name
"RT @BarackObama: ""This is a family agenda, but it starts with making sure every woman is getting a fair shot."" —President Obama #WomenSucce…",1395348316,18,havens_heart
"RT @BarackObama: ""We nag you because we love you."" —@MichelleObama on why mom wants you to #GetCoveredNow http://t.co/NhV4l820xm",1395348315,5877,pratik_bhadra
"RT @BarackObama: ""No woman should have to put off potentially lifesaving care because money is tight."" —President Obama #WomenSucceed",1395348315,60,jocelynmarie92
"RT @BarackObama: President Obama: Today, more women are bread winners than ever before, but they are still making less than men. #WomenSucc…",1395348314,37,rianvdberg
"RT @BarackObama: ""No woman should have to put off potentially lifesaving care because money is tight."" —President Obama #WomenSucceed",1395348314,11,athena140_na
"RT @BarackObama: ""We nag you because we love you."" —@MichelleObama on why mom wants you to #GetCoveredNow http://t.co/NhV4l820xm",1395348313,88,kaijeffers
"RT @texasbryanp: Whatever the reason, KNOCK IT OFF. RT @BarackObama: ""We nag you because we love you."" —@MichelleObama on why mom wants you…",1395348313,104,Cseinstein
"RT @BarackObama: ""The deadline to get covered this year is March 31st, which is just 11 days away."" —President Obama #LastCall2014",1395348311,85,Believe2952
"RT @BarackObama: ""We nag you because we love you."" —@MichelleObama on why mom wants you to #GetCoveredNow http://t.co/NhV4l820xm",1395348311,40,TomSawy52852472
"RT @BarackObama: President Obama: Today, more women are bread winners than ever before, but they are still making less than men. #WomenSucc…",1395348309,16,Eli_Bun
"RT @BarackObama: ""We've got to make sure that every woman has the opportunities that she deserves. When a woman succeeds, America succeeds.…",1395348307,10,Frogglic
RT @skyfenix1: HELP US! #CARACAS #SOS @BarackObama @JohnKerry @RosLehtinen @marcorubio @tachirafuerte @ntn24 @cnneireport http://t.co/QKT9Z…,1395348303,30,Skeletress
"RT @MyFoxOrlando: Waving goodbye. @BarackObama about to depart Orlando for Miami, two fundraisers. #fox35 http://t.co/1VaURhxJWK #fox35 @da…",1395348303,5999,Alasscan_
"RT @larry_kudlow: What is @BarackObama waiting for? Pull plug on oligarchs.Financial sanctions on banks,securities investment, stock/bond f…",1395348302,67,tpaln
RT if you agree with @BarackObama: MO's legislature isn't doing the right thing when it comes to #MedicaidExpansion - http://t.co/9JoPAXfg9X,1395348300,674,YDMO
"RT @BarackObama: ""We nag you because we love you."" —@MichelleObama on why mom wants you to #GetCoveredNow http://t.co/NhV4l820xm",1395348300,148,sammyyy
"RT @BarackObama: ""No woman should have to put off potentially lifesaving care because money is tight."" —President Obama #WomenSucceed",1395348299,10,Frogglic
RT @camilacabello97: @harrys_hairy @BarackObama HE'S MINE!!!!,1395348297,212,jaureguinator
"RT @faketrivia: Congrats to @BarackObama for correctly picking his alma mater. Finally, some #Harvard students do something with their live…",1395348296,14,ScottDunnington
"RT @BarackObama: ""We nag you because we love you."" —@MichelleObama on why mom wants you to #GetCoveredNow http://t.co/NhV4l820xm",1395348295,22,oscarlindstrom_
"RT @BarackObama: ""We've got to make sure that every woman has the opportunities that she deserves. When a woman succeeds, America succeeds.…",1395348292,112,bonjerseygirl12
"RT @BarackObama: ""We've got to make sure that every woman has the opportunities that she deserves. When a woman succeeds, America succeeds.…",1395348290,25,PLQuevedo
"RT @BarackObama: President Obama: Today, more women are bread winners than ever before, but they are still making less than men. #WomenSucc…",1395348287,46,JodzKilgannon
"RT @BarackObama: ""We nag you because we love you."" —@MichelleObama on why mom wants you to #GetCoveredNow http://t.co/NhV4l820xm",1395348284,66,SydneyWild
RT @BarackObama: LIVE: The President is speaking about improving economic opportunity for women and working families. http://t.co/78BAdJbgN…,1395348284,41,francescofatto3
"RT @BarackObama: President Obama: Today, more women are bread winners than ever before, but they are still making less than men. #WomenSucc…",1395348281,13,merllo37
RT @FknKyubey: .@BarackObama does a photo of me in bondage count,1395348280,190,TrueKvlt
